experiment_id,type,dataset,language_slice,dense_model,sparse_method,sparse_variant,hybrid_alpha,re_ranker,re_rank_topN,chunk_size,overlap,K_dense,K_sparse,K_report,ann_index,hnsw_M,efConstruction,efSearch,seed
BM25_baseline__MIRACL__english__s42,baseline_sparse,MIRACL,english,,BM25,native,,,,300,50,,100.0,10,,,,,42
BM25_MT__MIRACL__english__s42,baseline_sparse,MIRACL,english,,BM25,translate_query,,,,300,50,,100.0,10,,,,,42
BM25_baseline__MIRACL__english__s7,baseline_sparse,MIRACL,english,,BM25,native,,,,300,50,,100.0,10,,,,,7
BM25_MT__MIRACL__english__s7,baseline_sparse,MIRACL,english,,BM25,translate_query,,,,300,50,,100.0,10,,,,,7
BM25_baseline__MIRACL__spanish__s42,baseline_sparse,MIRACL,spanish,,BM25,native,,,,300,50,,100.0,10,,,,,42
BM25_MT__MIRACL__spanish__s42,baseline_sparse,MIRACL,spanish,,BM25,translate_query,,,,300,50,,100.0,10,,,,,42
BM25_baseline__MIRACL__spanish__s7,baseline_sparse,MIRACL,spanish,,BM25,native,,,,300,50,,100.0,10,,,,,7
BM25_MT__MIRACL__spanish__s7,baseline_sparse,MIRACL,spanish,,BM25,translate_query,,,,300,50,,100.0,10,,,,,7
BM25_baseline__MIRACL__swahili__s42,baseline_sparse,MIRACL,swahili,,BM25,native,,,,300,50,,100.0,10,,,,,42
BM25_MT__MIRACL__swahili__s42,baseline_sparse,MIRACL,swahili,,BM25,translate_query,,,,300,50,,100.0,10,,,,,42
BM25_baseline__MIRACL__swahili__s7,baseline_sparse,MIRACL,swahili,,BM25,native,,,,300,50,,100.0,10,,,,,7
BM25_MT__MIRACL__swahili__s7,baseline_sparse,MIRACL,swahili,,BM25,translate_query,,,,300,50,,100.0,10,,,,,7
BM25_baseline__MIRACL__bengali__s42,baseline_sparse,MIRACL,bengali,,BM25,native,,,,300,50,,100.0,10,,,,,42
BM25_MT__MIRACL__bengali__s42,baseline_sparse,MIRACL,bengali,,BM25,translate_query,,,,300,50,,100.0,10,,,,,42
BM25_baseline__MIRACL__bengali__s7,baseline_sparse,MIRACL,bengali,,BM25,native,,,,300,50,,100.0,10,,,,,7
BM25_MT__MIRACL__bengali__s7,baseline_sparse,MIRACL,bengali,,BM25,translate_query,,,,300,50,,100.0,10,,,,,7
BM25_baseline__MIRACL__yoruba__s42,baseline_sparse,MIRACL,yoruba,,BM25,native,,,,300,50,,100.0,10,,,,,42
BM25_MT__MIRACL__yoruba__s42,baseline_sparse,MIRACL,yoruba,,BM25,translate_query,,,,300,50,,100.0,10,,,,,42
BM25_baseline__MIRACL__yoruba__s7,baseline_sparse,MIRACL,yoruba,,BM25,native,,,,300,50,,100.0,10,,,,,7
BM25_MT__MIRACL__yoruba__s7,baseline_sparse,MIRACL,yoruba,,BM25,translate_query,,,,300,50,,100.0,10,,,,,7
BM25_baseline__Mr.TyDi__english__s42,baseline_sparse,Mr.TyDi,english,,BM25,native,,,,300,50,,100.0,10,,,,,42
BM25_MT__Mr.TyDi__english__s42,baseline_sparse,Mr.TyDi,english,,BM25,translate_query,,,,300,50,,100.0,10,,,,,42
BM25_baseline__Mr.TyDi__english__s7,baseline_sparse,Mr.TyDi,english,,BM25,native,,,,300,50,,100.0,10,,,,,7
BM25_MT__Mr.TyDi__english__s7,baseline_sparse,Mr.TyDi,english,,BM25,translate_query,,,,300,50,,100.0,10,,,,,7
BM25_baseline__Mr.TyDi__spanish__s42,baseline_sparse,Mr.TyDi,spanish,,BM25,native,,,,300,50,,100.0,10,,,,,42
BM25_MT__Mr.TyDi__spanish__s42,baseline_sparse,Mr.TyDi,spanish,,BM25,translate_query,,,,300,50,,100.0,10,,,,,42
BM25_baseline__Mr.TyDi__spanish__s7,baseline_sparse,Mr.TyDi,spanish,,BM25,native,,,,300,50,,100.0,10,,,,,7
BM25_MT__Mr.TyDi__spanish__s7,baseline_sparse,Mr.TyDi,spanish,,BM25,translate_query,,,,300,50,,100.0,10,,,,,7
BM25_baseline__Mr.TyDi__swahili__s42,baseline_sparse,Mr.TyDi,swahili,,BM25,native,,,,300,50,,100.0,10,,,,,42
BM25_MT__Mr.TyDi__swahili__s42,baseline_sparse,Mr.TyDi,swahili,,BM25,translate_query,,,,300,50,,100.0,10,,,,,42
BM25_baseline__Mr.TyDi__swahili__s7,baseline_sparse,Mr.TyDi,swahili,,BM25,native,,,,300,50,,100.0,10,,,,,7
BM25_MT__Mr.TyDi__swahili__s7,baseline_sparse,Mr.TyDi,swahili,,BM25,translate_query,,,,300,50,,100.0,10,,,,,7
BM25_baseline__Mr.TyDi__bengali__s42,baseline_sparse,Mr.TyDi,bengali,,BM25,native,,,,300,50,,100.0,10,,,,,42
BM25_MT__Mr.TyDi__bengali__s42,baseline_sparse,Mr.TyDi,bengali,,BM25,translate_query,,,,300,50,,100.0,10,,,,,42
BM25_baseline__Mr.TyDi__bengali__s7,baseline_sparse,Mr.TyDi,bengali,,BM25,native,,,,300,50,,100.0,10,,,,,7
BM25_MT__Mr.TyDi__bengali__s7,baseline_sparse,Mr.TyDi,bengali,,BM25,translate_query,,,,300,50,,100.0,10,,,,,7
BM25_baseline__Mr.TyDi__yoruba__s42,baseline_sparse,Mr.TyDi,yoruba,,BM25,native,,,,300,50,,100.0,10,,,,,42
BM25_MT__Mr.TyDi__yoruba__s42,baseline_sparse,Mr.TyDi,yoruba,,BM25,translate_query,,,,300,50,,100.0,10,,,,,42
BM25_baseline__Mr.TyDi__yoruba__s7,baseline_sparse,Mr.TyDi,yoruba,,BM25,native,,,,300,50,,100.0,10,,,,,7
BM25_MT__Mr.TyDi__yoruba__s7,baseline_sparse,Mr.TyDi,yoruba,,BM25,translate_query,,,,300,50,,100.0,10,,,,,7
BM25_baseline__mMARCO__english__s42,baseline_sparse,mMARCO,english,,BM25,native,,,,300,50,,100.0,10,,,,,42
BM25_MT__mMARCO__english__s42,baseline_sparse,mMARCO,english,,BM25,translate_query,,,,300,50,,100.0,10,,,,,42
BM25_baseline__mMARCO__english__s7,baseline_sparse,mMARCO,english,,BM25,native,,,,300,50,,100.0,10,,,,,7
BM25_MT__mMARCO__english__s7,baseline_sparse,mMARCO,english,,BM25,translate_query,,,,300,50,,100.0,10,,,,,7
BM25_baseline__mMARCO__spanish__s42,baseline_sparse,mMARCO,spanish,,BM25,native,,,,300,50,,100.0,10,,,,,42
BM25_MT__mMARCO__spanish__s42,baseline_sparse,mMARCO,spanish,,BM25,translate_query,,,,300,50,,100.0,10,,,,,42
BM25_baseline__mMARCO__spanish__s7,baseline_sparse,mMARCO,spanish,,BM25,native,,,,300,50,,100.0,10,,,,,7
BM25_MT__mMARCO__spanish__s7,baseline_sparse,mMARCO,spanish,,BM25,translate_query,,,,300,50,,100.0,10,,,,,7
BM25_baseline__mMARCO__swahili__s42,baseline_sparse,mMARCO,swahili,,BM25,native,,,,300,50,,100.0,10,,,,,42
BM25_MT__mMARCO__swahili__s42,baseline_sparse,mMARCO,swahili,,BM25,translate_query,,,,300,50,,100.0,10,,,,,42
BM25_baseline__mMARCO__swahili__s7,baseline_sparse,mMARCO,swahili,,BM25,native,,,,300,50,,100.0,10,,,,,7
BM25_MT__mMARCO__swahili__s7,baseline_sparse,mMARCO,swahili,,BM25,translate_query,,,,300,50,,100.0,10,,,,,7
BM25_baseline__mMARCO__bengali__s42,baseline_sparse,mMARCO,bengali,,BM25,native,,,,300,50,,100.0,10,,,,,42
BM25_MT__mMARCO__bengali__s42,baseline_sparse,mMARCO,bengali,,BM25,translate_query,,,,300,50,,100.0,10,,,,,42
BM25_baseline__mMARCO__bengali__s7,baseline_sparse,mMARCO,bengali,,BM25,native,,,,300,50,,100.0,10,,,,,7
BM25_MT__mMARCO__bengali__s7,baseline_sparse,mMARCO,bengali,,BM25,translate_query,,,,300,50,,100.0,10,,,,,7
BM25_baseline__mMARCO__yoruba__s42,baseline_sparse,mMARCO,yoruba,,BM25,native,,,,300,50,,100.0,10,,,,,42
BM25_MT__mMARCO__yoruba__s42,baseline_sparse,mMARCO,yoruba,,BM25,translate_query,,,,300,50,,100.0,10,,,,,42
BM25_baseline__mMARCO__yoruba__s7,baseline_sparse,mMARCO,yoruba,,BM25,native,,,,300,50,,100.0,10,,,,,7
BM25_MT__mMARCO__yoruba__s7,baseline_sparse,mMARCO,yoruba,,BM25,translate_query,,,,300,50,,100.0,10,,,,,7
DenseOnly__LaBSE__MIRACL__english__c200__s42,dense_only,MIRACL,english,LaBSE,,,,,,200,50,100.0,,10,HNSW,32.0,200.0,64.0,42
DenseOnly__LaBSE__MIRACL__english__c200__s7,dense_only,MIRACL,english,LaBSE,,,,,,200,50,100.0,,10,HNSW,32.0,200.0,64.0,7
DenseOnly__LaBSE__MIRACL__english__c300__s42,dense_only,MIRACL,english,LaBSE,,,,,,300,50,100.0,,10,HNSW,32.0,200.0,64.0,42
DenseOnly__LaBSE__MIRACL__english__c300__s7,dense_only,MIRACL,english,LaBSE,,,,,,300,50,100.0,,10,HNSW,32.0,200.0,64.0,7
DenseOnly__mContriever__MIRACL__english__c200__s42,dense_only,MIRACL,english,mContriever,,,,,,200,50,100.0,,10,HNSW,32.0,200.0,64.0,42
DenseOnly__mContriever__MIRACL__english__c200__s7,dense_only,MIRACL,english,mContriever,,,,,,200,50,100.0,,10,HNSW,32.0,200.0,64.0,7
DenseOnly__mContriever__MIRACL__english__c300__s42,dense_only,MIRACL,english,mContriever,,,,,,300,50,100.0,,10,HNSW,32.0,200.0,64.0,42
DenseOnly__mContriever__MIRACL__english__c300__s7,dense_only,MIRACL,english,mContriever,,,,,,300,50,100.0,,10,HNSW,32.0,200.0,64.0,7
DenseOnly__mE5__MIRACL__english__c200__s42,dense_only,MIRACL,english,mE5,,,,,,200,50,100.0,,10,HNSW,32.0,200.0,64.0,42
DenseOnly__mE5__MIRACL__english__c200__s7,dense_only,MIRACL,english,mE5,,,,,,200,50,100.0,,10,HNSW,32.0,200.0,64.0,7
DenseOnly__mE5__MIRACL__english__c300__s42,dense_only,MIRACL,english,mE5,,,,,,300,50,100.0,,10,HNSW,32.0,200.0,64.0,42
DenseOnly__mE5__MIRACL__english__c300__s7,dense_only,MIRACL,english,mE5,,,,,,300,50,100.0,,10,HNSW,32.0,200.0,64.0,7
DenseOnly__LaBSE__MIRACL__spanish__c200__s42,dense_only,MIRACL,spanish,LaBSE,,,,,,200,50,100.0,,10,HNSW,32.0,200.0,64.0,42
DenseOnly__LaBSE__MIRACL__spanish__c200__s7,dense_only,MIRACL,spanish,LaBSE,,,,,,200,50,100.0,,10,HNSW,32.0,200.0,64.0,7
DenseOnly__LaBSE__MIRACL__spanish__c300__s42,dense_only,MIRACL,spanish,LaBSE,,,,,,300,50,100.0,,10,HNSW,32.0,200.0,64.0,42
DenseOnly__LaBSE__MIRACL__spanish__c300__s7,dense_only,MIRACL,spanish,LaBSE,,,,,,300,50,100.0,,10,HNSW,32.0,200.0,64.0,7
DenseOnly__mContriever__MIRACL__spanish__c200__s42,dense_only,MIRACL,spanish,mContriever,,,,,,200,50,100.0,,10,HNSW,32.0,200.0,64.0,42
DenseOnly__mContriever__MIRACL__spanish__c200__s7,dense_only,MIRACL,spanish,mContriever,,,,,,200,50,100.0,,10,HNSW,32.0,200.0,64.0,7
DenseOnly__mContriever__MIRACL__spanish__c300__s42,dense_only,MIRACL,spanish,mContriever,,,,,,300,50,100.0,,10,HNSW,32.0,200.0,64.0,42
DenseOnly__mContriever__MIRACL__spanish__c300__s7,dense_only,MIRACL,spanish,mContriever,,,,,,300,50,100.0,,10,HNSW,32.0,200.0,64.0,7
DenseOnly__mE5__MIRACL__spanish__c200__s42,dense_only,MIRACL,spanish,mE5,,,,,,200,50,100.0,,10,HNSW,32.0,200.0,64.0,42
DenseOnly__mE5__MIRACL__spanish__c200__s7,dense_only,MIRACL,spanish,mE5,,,,,,200,50,100.0,,10,HNSW,32.0,200.0,64.0,7
DenseOnly__mE5__MIRACL__spanish__c300__s42,dense_only,MIRACL,spanish,mE5,,,,,,300,50,100.0,,10,HNSW,32.0,200.0,64.0,42
DenseOnly__mE5__MIRACL__spanish__c300__s7,dense_only,MIRACL,spanish,mE5,,,,,,300,50,100.0,,10,HNSW,32.0,200.0,64.0,7
DenseOnly__LaBSE__MIRACL__swahili__c200__s42,dense_only,MIRACL,swahili,LaBSE,,,,,,200,50,100.0,,10,HNSW,32.0,200.0,64.0,42
DenseOnly__LaBSE__MIRACL__swahili__c200__s7,dense_only,MIRACL,swahili,LaBSE,,,,,,200,50,100.0,,10,HNSW,32.0,200.0,64.0,7
DenseOnly__LaBSE__MIRACL__swahili__c300__s42,dense_only,MIRACL,swahili,LaBSE,,,,,,300,50,100.0,,10,HNSW,32.0,200.0,64.0,42
DenseOnly__LaBSE__MIRACL__swahili__c300__s7,dense_only,MIRACL,swahili,LaBSE,,,,,,300,50,100.0,,10,HNSW,32.0,200.0,64.0,7
DenseOnly__mContriever__MIRACL__swahili__c200__s42,dense_only,MIRACL,swahili,mContriever,,,,,,200,50,100.0,,10,HNSW,32.0,200.0,64.0,42
DenseOnly__mContriever__MIRACL__swahili__c200__s7,dense_only,MIRACL,swahili,mContriever,,,,,,200,50,100.0,,10,HNSW,32.0,200.0,64.0,7
DenseOnly__mContriever__MIRACL__swahili__c300__s42,dense_only,MIRACL,swahili,mContriever,,,,,,300,50,100.0,,10,HNSW,32.0,200.0,64.0,42
DenseOnly__mContriever__MIRACL__swahili__c300__s7,dense_only,MIRACL,swahili,mContriever,,,,,,300,50,100.0,,10,HNSW,32.0,200.0,64.0,7
DenseOnly__mE5__MIRACL__swahili__c200__s42,dense_only,MIRACL,swahili,mE5,,,,,,200,50,100.0,,10,HNSW,32.0,200.0,64.0,42
DenseOnly__mE5__MIRACL__swahili__c200__s7,dense_only,MIRACL,swahili,mE5,,,,,,200,50,100.0,,10,HNSW,32.0,200.0,64.0,7
DenseOnly__mE5__MIRACL__swahili__c300__s42,dense_only,MIRACL,swahili,mE5,,,,,,300,50,100.0,,10,HNSW,32.0,200.0,64.0,42
DenseOnly__mE5__MIRACL__swahili__c300__s7,dense_only,MIRACL,swahili,mE5,,,,,,300,50,100.0,,10,HNSW,32.0,200.0,64.0,7
